# Directed graph: google_g_16.txt 
# Kronecker Graph: seed matrix [0.8305 0.5573; 0.4638 0.3021]
# Each Number representatives a Node
# FromNodeId	ToNodeId
12836	18848
16714	18769
4648	37285
51264	39941
1024	22084
41936	35935
59616	16864
2358	19169
3724	17582
10244	6761
60420	38056
2116	30726
4	5147
592	21089
20673	22282
16448	8930
33268	46114
39564	47552
17024	20530
47360	40694
17072	4349
353	61098
1920	39768
43540	1649
22083	37155
568	6443
64681	10418
16664	13126
33426	49922
4754	55819
8336	2919
13324	2981
536	34823
13364	38211
49651	20677
832	779
34432	45243
2624	21969
12067	9033
12584	26882
49256	44952
326	2593
7424	16385
41744	51515
39180	51234
18768	57378
64350	33365
41228	1064
8196	12290
10258	39872
35224	12498
41568	20281
50381	36412
8224	33494
42120	2017
393	10512
39592	17489
39488	37637
35648	13515
35110	51649
15042	33284
48515	34839
1969	39688
8760	8709
34064	16769
10429	42093
5122	6154
20912	8324
34843	30366
36896	8482
45839	56592
8326	29456
172	1309
64534	51286
45094	33781
1664	409
8296	35265
34978	51323
3313	33288
27160	2484
4486	934
22820	12498
9220	51456
41332	37040
5308	43590
50366	18344
24848	31041
33539	53260
34073	33964
204	32901
20738	2694
43157	4549
6	54417
28781	37915
33840	1228
10829	16792
37762	47347
144	14848
1640	37382
36635	20610
13840	1237
32800	58475
29568	39969
33494	41741
7454	37030
53769	16643
37968	28470
5162	5834
53408	3241
3408	548
49728	64737
434	21122
176	53890
8312	34523
28941	42251
62499	2257
51286	41674
53784	45515
41673	35157
22213	34957
10019	35085
1895	5792
5816	19951
33041	10669
25377	25877
32808	17630
51073	4184
46440	49668
19748	2785
17662	35969
53528	12338
16432	55815
29492	12322
50712	1820
9787	53909
61465	22041
360	19741
33282	17238
38616	35106
82	38402
32513	9498
49223	24780
50717	31560
12321	3123
18982	16690
12628	5468
2908	37248
26260	2182
54592	41230
54274	9345
38576	33188
26820	24612
45959	844
64604	9100
48192	10277
59045	1121
28416	37186
4674	34111
18441	36896
456	49900
21056	2964
16495	45381
3397	9743
14604	17816
36372	59429
15369	18977
51210	24612
47704	21252
43183	2284
39714	25101
23983	13649
22020	59616
30208	26729
32786	1861
34052	10355
41608	11437
4440	12950
12326	23560
37506	15960
9409	20610
37003	27312
12442	50303
27841	10360
9926	3805
1596	5414
46273	44169
40455	19732
20587	11592
10347	50305
45829	14529
560	57596
32900	52937
8353	35238
47280	27905
18840	16952
37407	34338
610	48162
4454	20680
14492	55296
62023	41472
2240	21314
309	14041
65328	19658
34753	33938
50341	37201
56242	9345
22849	17761
5537	212
2048	45880
33745	5688
8350	11445
4	3250
15146	21973
56084	64640
51232	7811
5493	37391
33322	1023
5376	20757
21780	55215
16660	1864
23908	32964
12296	26411
1394	9200
20586	53344
17487	62501
2304	24904
640	64070
664	41249
23692	28744
320	8595
21661	9370
10438	6320
16	4865
24531	3179
36880	62547
6728	25839
7194	51777
7442	51924
19015	18113
4923	3152
12774	24977
61505	22848
31920	58754
41017	10306
2992	8453
48595	34832
45	45092
29460	6104
36877	45707
44849	6279
3876	181
18309	13124
23560	16567
38061	63314
50264	667
61777	31365
422	16600
18777	43024
20744	28881
43163	6456
165	47257
30722	25357
5203	4155
21729	45640
32853	22760
12582	84
1576	40762
20548	14856
42564	14213
24592	8491
2	17216
42022	50846
10763	13154
22565	544
54092	41489
32922	12578
55488	49829
60947	33928
40996	10868
21734	28136
17346	512
952	49664
4612	62500
64069	11274
7504	3144
3211	28835
740	59200
12401	291
11102	40666
51785	20480
9639	45628
289	24769
8195	15945
34177	9193
55858	177
559	8335
35936	5641
24751	9505
13844	4896
43104	25112
28742	10115
40982	17613
32894	1866
2187	1616
8534	34845
17708	16397
17470	7957
8264	9124
59400	35350
38987	49257
1605	50916
21761	17366
15481	54054
4098	18884
11326	10729
25834	36482
5122	37680
15140	11850
21221	47366
14730	17463
24623	31240
1084	49364
1370	4180
2064	40449
707	6738
1710	36420
3712	41204
35364	63249
17458	13700
41044	4115
1660	10900
34084	12190
2097	35596
2142	9984
25536	25474
15120	23202
12307	17
4264	727
39592	4241
45184	13163
35880	7559
33537	8578
49165	33960
15105	8240
38195	32797
1680	4601
42135	9420
57380	33561
33040	8761
8328	58329
40018	52141
2525	32928
17040	3216
19600	3099
21624	44353
21344	24412
25600	36969
3206	37169
20356	25368
33317	19080
8272	46593
18009	29384
399	2915
2778	2980
19916	57664
62124	26240
2564	5332
22543	25642
12613	35098
33282	11142
11289	51147
4941	24926
53057	3136
59042	16348
3721	8411
7200	9485
37518	3163
35714	34983
27757	4170
63848	16444
33890	6758
25090	45236
1036	20019
4364	9484
16385	42462
10253	26628
14549	42709
10504	20053
33328	55060
41228	41040
24722	59952
29860	30360
10256	19352
40095	5923
97	8213
42524	35685
34118	14029
8240	62072
28168	7368
59500	4129
33302	26124
41084	541
8236	21140
43968	17090
29842	50340
34823	2053
8421	14424
10753	9122
61721	7035
32912	7044
32905	8992
290	6569
27840	35281
56258	8345
33232	14300
8582	14068
642	3245
32993	4559
12359	23286
64267	10465
41267	44297
3592	646
6186	19876
33192	24785
4261	20036
4968	16672
67	55579
2052	31112
12640	2176
38431	14508
46156	467
36394	33152
21298	9181
43264	20704
29772	12679
33345	35864
33199	33935
2080	41502
33414	945
3616	59424
23553	60696
13337	2575
34947	36004
48740	49215
16216	34364
33924	14185
47437	64604
25632	41841
55352	8341
1092	6346
17841	38166
1754	37632
39080	691
40809	55761
36942	16799
24648	22120
25344	11219
13067	42049
34216	134
16454	54100
6308	12745
5416	1084
770	33428
50740	38148
27177	24608
496	8197
10386	37792
17188	33859
25036	56585
25368	34944
43020	60021
40452	4711
22663	49333
33025	40001
46492	40261
43521	71
71	35991
5681	50069
1026	46964
55857	10534
279	10256
24848	22725
17484	20772
60552	4115
36928	11677
15426	5768
19842	9788
37195	38730
8618	35298
2063	29185
16848	16513
37260	17106
57504	49325
44163	16684
49282	51217
20484	8164
48640	16524
24756	36352
33829	536
33025	40989
10265	58443
6212	41104
38529	4381
13080	43138
38197	1060
42033	45608
12662	4146
16470	853
33289	19758
3866	36948
14501	2603
41277	10973
641	29138
26624	2561
3448	18781
19530	41382
524	2459
41827	3590
14934	5136
11034	582
4590	58770
10392	1
39682	17085
37226	9120
16936	24946
10399	33608
569	1418
12612	42669
51976	2236
61675	8757
458	47621
49337	5360
51817	12419
16769	2130
38965	24943
43020	53343
8432	2836
64044	42079
3269	11874
17954	26636
45576	22797
37298	501
51195	42762
2113	33052
61633	54025
33473	57482
23558	4632
19822	49225
51487	26227
5242	65331
28289	12432
40658	34080
58555	42013
12402	3118
33904	59716
41164	46581
16196	39048
5201	8790
10527	26518
59150	532
5152	22643
35539	8722
27020	7496
18690	4658
55373	19459
1954	50905
10251	38124
7188	17993
386	2581
8844	14465
16518	17928
49155	49760
49543	38965
11381	5444
8851	60442
33818	9808
17968	42283
20230	53879
49201	41224
61859	20698
21505	23934
92	21007
38326	61490
2180	16680
20819	27661
60819	12865
60172	1034
42070	13859
15872	15959
4845	256
16384	30151
6534	35408
34953	33302
492	6148
10990	54296
30	50192
14098	16064
32	2320
2063	54274
16715	46340
37580	4419
34317	24448
4198	49771
8736	12744
293	264
647	5819
36251	2126
2375	56036
17088	35902
45673	4949
8006	10761
10240	35465
9344	436
6228	27524
58635	30034
2130	35042
50281	17008
21977	52554
61448	16682
9267	28035
25163	3650
38994	33529
51376	9616
58946	32853
10507	20812
21417	3136
17800	25600
3142	5349
6424	4428
49200	232
